Pilot-in-Command,Air Seconds,Above Sea Level (Meters),Drone Type,Takeoff Bat %,Takeoff Volts,Landing Bat %,Landing Volts,Max Altitude (Meters),Total Mileage (Kilometers),Difference Volts
Piloto B,258,984.7,Phantom 3 Advanced,95,16.791,75,15.02,43.0,0.4,1.7710000000000008
Piloto A,905,1511.1,Phantom 3 Professional,96,16.438,16,13.988,20.6,0.4,2.4499999999999993
Piloto A,958,2633.3,Mavic Pro,100,12.528,30,11.074,4.7,0.3,1.4540000000000006
Piloto D,11,2646.8,Phantom 3 Advanced,85,16.516,85,15.467,1.0,0.0,1.0489999999999977
Piloto A,758,3011.5,Phantom 3 Advanced,94,16.829,21,13.988,121.4,8.3,2.841000000000001
Piloto D,8,0.0,Spark,97,12.628,96,12.309,0.0,0.0,0.31900000000000084
Piloto A,582,2629.8,Mavic Air 2,100,12.79,67,11.848,16.4,0.3,0.9419999999999984
Piloto A,0,0.0,Spark,70,11.754,69,11.663,0.0,0.0,0.0909999999999993
Piloto D,187,47.2,Phantom 3 Advanced,95,16.896,80,15.236,58.6,0.6,1.6600000000000001
Piloto B,366,2612.5,Spark,99,12.739,59,11.417,97.4,0.2,1.322000000000001
Piloto D,388,2678.5,Phantom 4 Pro,39,15.222,8,14.342,49.8,1.1,0.879999999999999
Piloto A,969,922.2,Phantom 3 Advanced,100,17.235,15,14.155,435.0,8.3,3.08
Piloto D,814,993.9,Phantom 3 Advanced,94,16.835,13,14.162,341.8,5.9,2.673
Piloto B,246,2628.2,Mavic Air 2,73,13.006,59,12.748,11.6,0.2,1.658999999999999
Piloto B,588,2215.9,Mavic Air 2,97,12.885,64,11.801,11.1,0.2,1.0839999999999996
Piloto B,1447,2629.8,Mavic Air 2,99,12.973,14,10.879,67.0,2.4,2.094000000000001
Piloto D,408,1066.8,Phantom 3 Advanced,86,16.599,53,14.505,6.0,0.2,2.0939999999999994
Piloto D,85,0.0,Spark,96,12.655,83,11.949,0.0,0.0,0.7059999999999995
Piloto D,746,2628.9,Spark,96,12.685,10,10.617,180.4,1.1,2.0679999999999996
Piloto A,276,31.5,Phantom 3 Advanced,96,16.913,81,15.187,28.8,0.3,1.7260000000000009
Piloto D,834,807.4,Phantom 3 Advanced,97,16.975,12,13.968,54.8,2.3,3.0070000000000014
Piloto D,651,2552.9,Phantom 3 Advanced,81,16.353,20,14.609,20.3,0.5,1.7440000000000015
Piloto A,25,2620.2,Mavic Pro,99,12.656,98,12.186,4.8,0.0,0.47000000000000064
Piloto D,18,1007.5,Phantom 3 Advanced,96,17.068,96,16.004,6.5,0.0,1.064
Piloto A,1038,2632.0,Mavic Pro,100,12.594,21,10.839,50.6,2.2,1.754999999999999
Piloto D,842,2556.1,Phantom 3 Advanced,97,16.953,23,14.172,30.4,0.3,2.780999999999999
Piloto D,910,2562.3,Phantom 3 Advanced,97,16.958,14,14.243,41.5,1.4,2.714999999999998
Piloto C,550,2636.7,Mavic Pro,59,11.282,16,11.015,65.3,0.3,0.26699999999999946
Piloto A,283,2620.5,Spark,97,12.554,65,11.307,52.7,0.1,1.2469999999999999
Piloto A,652,2549.9,Spark,99,12.495,16,10.716,101.6,0.2,1.779
Piloto D,350,2560.8,Spark,99,12.745,56,11.359,41.2,0.1,1.3859999999999992
Piloto A,409,27.8,Mavic Pro,54,11.135,26,11.114,69.4,0.2,0.02099999999999902
Piloto A,166,0.0,Phantom 4,99,16.967,87,15.41,0.0,0.0,1.5569999999999986
Piloto D,871,2560.5,Phantom 3 Advanced,98,17.165,13,14.008,29.2,4.1,3.157
Piloto A,82,2561.6,Phantom 3 Advanced,93,16.641,89,14.541,17.2,0.1,2.099999999999998
Piloto A,686,2620.2,Spark,99,12.663,7,10.632,72.6,0.5,2.0310000000000006
Piloto A,1012,2563.3,Phantom 4,89,16.67,11,14.16,15.8,0.6,2.5100000000000016
Piloto A,187,2631.8,Phantom 3 Advanced,62,15.358,47,13.865,25.2,0.1,1.4930000000000003
Piloto D,692,2632.7,Mavic Pro,100,12.637,46,11.309,31.0,0.3,1.3280000000000012
Piloto D,0,567.6,Phantom 3 Advanced,93,16.904,93,16.88,0.0,0.0,0.02400000000000091
Piloto A,681,1668.7,Phantom 3 Advanced,100,17.17,46,15.174,220.9,5.2,1.9960000000000022
Piloto A,22,2620.2,Mavic Pro,24,11.21,24,11.003,11.1,0.0,0.20700000000000074
Piloto A,1006,2642.8,Phantom 4,99,16.78,20,14.605,54.0,0.3,2.1750000000000007
Piloto A,0,2562.0,Phantom 4,100,17.143,100,17.088,0.0,0.0,0.054999999999999716
Piloto A,18,2620.5,Spark,96,12.788,94,12.32,5.0,0.0,0.46799999999999997
Piloto A,796,2558.0,Mavic Pro,99,12.371,41,10.998,24.9,0.6,1.373000000000001
Piloto A,567,2620.5,Spark,78,12.223,4,10.423,63.5,0.4,1.8000000000000007
Piloto D,0,1616.8,Phantom 3 Advanced,34,15.124,34,15.087,0.0,0.0,0.03700000000000081
Piloto A,0,306.7,Mavic Pro,38,11.34,38,11.27,0.0,0.0,0.07000000000000028
Piloto B,67,2560.2,Spark,18,10.96,9,10.554,0.2,0.1,0.4060000000000006
Piloto A,182,2622.3,Mavic Pro,81,12.08,67,11.545,4.4,0.1,0.5350000000000001
Piloto A,627,2620.4,Spark,99,12.717,18,10.838,14.5,0.3,1.8790000000000013
Piloto D,844,697.4,Phantom 3 Advanced,100,17.131,16,14.202,351.8,8.9,2.9290000000000003
Piloto B,672,2620.4,Spark,98,12.682,10,10.751,68.9,0.4,1.931000000000001
Piloto B,1200,781.9,Mavic Air 2,100,12.913,33,11.229,24.6,0.7,1.684000000000001
Piloto D,804,984.5,Mavic Pro,98,12.741,45,11.196,90.5,2.1,1.545
Piloto A,18,2549.9,Mavic Mini,73,7.918,71,7.681,1.2,0.0,0.2370000000000001
Piloto A,61,2620.8,Spark,22,10.698,14,10.77,67.0,0.0,-0.07199999999999918
Piloto A,0,2771.8,Mavic Pro,100,13.006,100,12.748,0.0,0.0,1.658999999999999
Piloto A,375,1214.5,Phantom 3 Advanced,95,16.922,63,14.733,139.4,3.3,2.189
Piloto D,458,2592.2,Phantom 4,99,17.065,62,15.399,51.6,1.1,1.6660000000000021
Piloto D,152,1312.8,Spark,97,12.687,79,11.563,6.0,0.0,1.1239999999999988
Piloto A,623,306.7,Spark,95,12.557,21,10.818,136.8,1.6,1.7390000000000008
Piloto A,14,2594.0,Phantom 3 Advanced,86,16.117,85,15.236,7.7,0.0,0.8810000000000002
Piloto D,198,1.7,Phantom 3 Advanced,93,16.873,80,15.188,87.3,0.1,1.6850000000000005
Piloto D,612,2620.3,Spark,95,12.745,10,10.785,101.1,0.6,1.959999999999999
Piloto A,619,2620.5,Spark,97,12.461,7,10.734,67.2,0.8,1.7270000000000003
Piloto D,57,0.0,Mavic Pro,49,11.257,45,10.569,0.0,0.0,0.6879999999999988
Piloto B,473,887.0,Mavic Air 2,100,12.856,77,12.133,13.9,0.2,0.7230000000000008
Piloto B,1312,1976.3,Mavic Air 2,91,12.625,15,10.964,7.2,0.6,1.6609999999999996
Piloto A,199,306.7,Mavic Mini,43,7.318,21,6.835,46.6,0.2,0.48299999999999965
Piloto A,916,2631.8,Mavic Pro,94,12.72,25,11.074,8.3,0.3,1.6460000000000008
Piloto A,750,1579.9,Mavic Air 2,100,12.909,61,11.668,101.3,1.4,1.2410000000000014
Piloto A,24,2557.9,Mavic Pro,100,12.714,99,12.03,4.8,0.0,0.684000000000001
Piloto A,670,1626.0,Phantom 3 Advanced,92,16.756,34,14.448,51.0,4.2,2.308
Piloto D,746,2576.4,Mavic Pro,87,12.208,23,10.796,3.1,0.5,1.4120000000000008
Piloto A,167,583.5,Phantom 4,81,16.34,70,15.533,61.7,0.0,0.8070000000000004
Piloto A,184,0.0,Mavic Pro,99,12.763,86,11.972,1.2,0.0,0.7910000000000004
Piloto D,795,4.0,Phantom 3 Advanced,82,14.944,12,14.13,194.1,4.9,0.8140000000000001
Piloto D,808,2562.6,Phantom 3 Advanced,92,16.56,13,13.819,25.7,0.4,2.740999999999998
Piloto A,0,2563.3,Phantom 4,99,16.842,99,16.35,0.0,0.0,0.49199999999999733
Piloto D,327,257.5,Phantom 3 Advanced,72,15.089,41,14.612,20.5,0.2,0.4770000000000003
Piloto A,666,2661.7,Mavic Pro,100,12.965,55,11.394,52.8,0.5,1.5709999999999997
Piloto D,0,1966.9,Phantom 3 Advanced,93,16.752,93,16.603,0.0,0.0,0.14899999999999736
Piloto A,379,2620.7,Spark,66,11.314,19,10.711,66.0,0.1,0.6029999999999998
Piloto B,48,2629.6,Phantom 3 Professional,85,16.377,83,14.843,21.4,0.0,1.533999999999999
Piloto A,655,2923.3,Spark,93,12.63,10,10.769,99.9,2.7,1.8610000000000007
Piloto B,1150,2557.8,Mini 2,99,8.629,18,7.341,66.4,1.7,1.2879999999999994
Piloto D,1013,4.6,Phantom 3 Advanced,95,15.515,17,14.095,135.9,1.8,1.42
Piloto A,717,2620.0,Spark,97,12.632,12,10.636,68.4,0.4,1.9960000000000004
Piloto D,1029,994.1,Phantom 3 Advanced,100,17.135,13,14.035,363.0,9.3,3.1000000000000014
Piloto A,192,2639.3,Mavic Air 2,80,12.134,68,11.731,58.1,0.1,0.40300000000000047
Piloto A,1386,1109.1,Mavic Air 2,97,13.006,18,12.748,4.0,0.6,1.658999999999999
Piloto A,710,2620.4,Spark,96,12.47,8,10.476,51.8,0.8,1.9939999999999998
Piloto D,569,2555.6,Phantom 3 Advanced,83,16.516,22,14.123,265.0,5.3,2.392999999999999
Piloto A,30,2631.4,Mavic Pro,100,12.559,99,11.693,3.1,0.0,0.8659999999999997
Piloto D,175,256.3,Spark,81,12.238,61,11.364,4.7,0.0,0.8739999999999988
Piloto A,0,1604.2,Phantom 3 Advanced,96,16.802,96,16.62,0.0,0.0,0.1819999999999986
Piloto B,0,2632.1,Mavic Air 2,100,13.006,100,12.748,0.0,0.0,1.658999999999999
Piloto A,961,603.9,Phantom 3 Advanced,94,16.836,17,14.251,132.2,3.5,2.584999999999999
Piloto D,700,6.9,Phantom 3 Advanced,99,17.119,51,14.266,6.6,0.3,2.8529999999999998
Piloto D,817,12.0,Phantom 3 Advanced,94,16.848,27,14.334,93.0,4.2,2.5139999999999993
Piloto D,718,11.9,Phantom 3 Advanced,67,15.879,16,14.267,53.0,5.3,1.612
Piloto A,1191,1450.0,Phantom 4,98,17.182,16,14.632,31.1,1.9,2.549999999999999
Piloto B,1175,1626.8,Phantom 4,100,17.209,15,14.309,20.2,0.6,2.9000000000000004
Piloto A,1156,2631.8,Mavic Pro,100,12.886,20,10.915,55.0,2.8,1.971
Piloto D,1481,7.9,Matrice 210 RTK V2,99,26.124,13,21.893,130.2,12.1,4.230999999999998
Piloto A,781,794.6,Mavic Air 2,55,11.526,10,10.942,23.3,0.4,0.5839999999999996
Piloto D,0,0.0,Spark,100,12.806,100,12.78,0.0,0.0,0.0259999999999998
Piloto D,500,1328.0,Phantom 3 Advanced,95,16.874,58,14.776,67.3,0.8,2.097999999999999
Piloto A,589,2193.9,Phantom 3 Professional,93,16.474,40,14.249,31.1,0.9,2.2249999999999996
Piloto D,677,2633.0,Spark,97,12.611,10,10.668,32.0,0.7,1.9430000000000014
Piloto A,597,2817.5,Spark,99,12.734,10,10.687,14.6,0.1,2.0470000000000006
Piloto D,4,2670.2,Phantom 3 Advanced,100,17.105,100,15.178,0.0,0.0,1.9269999999999996
Piloto A,3,208.0,Unknown Type,90,12.389,90,12.389,87.4,0.0,0.0
Piloto A,716,2620.4,Spark,99,12.649,12,10.639,10.1,0.3,2.01
Piloto A,1149,2561.6,Mavic Air 2,99,12.82,32,11.159,32.2,0.3,1.6609999999999996
Piloto D,114,2561.8,Spark,28,11.175,13,10.664,43.8,0.2,0.511000000000001
Piloto A,1066,2632.0,Mavic Pro,97,12.627,17,10.941,7.2,0.4,1.686
Piloto A,939,337.7,Phantom 3 Advanced,96,15.375,12,13.798,11.5,0.3,1.577
Piloto B,1050,2560.0,Mavic Air 2,100,12.787,39,11.287,39.9,0.8,1.5
Piloto A,1057,2409.7,Phantom 3 Advanced,100,17.1,17,14.505,183.5,2.0,2.5950000000000006
Piloto B,311,2560.8,Spark,77,12.015,38,10.91,80.6,0.1,1.1050000000000004
Piloto B,1068,1027.0,Mavic Air 2,99,12.9,38,11.274,38.8,1.4,1.6260000000000012
Piloto A,221,2969.0,Phantom 3 Advanced,95,16.772,77,14.956,86.5,1.5,1.815999999999999
Piloto A,1105,2635.4,Phantom 3 Advanced,96,14.82,10,14.444,50.9,0.2,0.37599999999999945
Piloto A,73,2561.6,Phantom 4,97,17.0,92,15.628,8.6,0.0,1.3719999999999999
Piloto A,1075,1064.6,Phantom 4,95,16.812,15,14.23,52.9,2.2,2.5820000000000007
Piloto B,98,2620.8,Phantom 3 Advanced,54,15.462,48,13.737,54.1,0.2,1.7249999999999996
Piloto A,1064,884.6,Phantom 4,97,16.886,15,14.505,35.1,1.5,2.3809999999999985
Piloto A,594,27.3,Mavic Pro,92,12.563,55,11.384,69.4,2.1,1.1790000000000003
Piloto D,270,37.7,Spark,100,12.786,70,11.691,16.3,0.2,1.0949999999999989
Piloto D,69,2561.0,Mavic Mini,15,7.156,9,6.934,11.5,0.1,0.22199999999999953
Piloto D,60,2550.7,Phantom 3 Advanced,97,16.818,94,15.301,27.8,0.1,1.5170000000000012
Piloto D,87,2730.2,Spark,98,12.595,86,11.915,47.5,0.1,0.6800000000000015
Piloto A,0,0.0,Mavic Mini,97,8.23,97,8.213,0.0,0.0,0.017000000000001236
Piloto B,305,1581.7,Mavic Air 2,100,12.952,84,12.398,3.9,0.1,0.5540000000000003
Piloto A,63,337.8,Phantom 3 Advanced,90,16.565,86,15.405,23.1,0.2,1.160000000000002
Piloto A,302,2544.7,Phantom 4,98,16.934,75,15.455,48.0,0.1,1.479000000000001
Piloto D,594,2810.0,Spark,98,12.687,22,10.783,78.0,1.3,1.904
Piloto D,1254,9.0,Matrice 210 RTK V2,95,25.915,7,21.684,200.2,15.8,4.230999999999998
Piloto D,0,1067.7,Phantom 3 Advanced,100,17.153,100,17.154,0.0,0.0,-0.0010000000000012221
Piloto A,30,2633.0,Mavic Pro,98,12.289,96,11.181,3.5,0.0,1.1080000000000005
Piloto A,804,388.4,Phantom 4,93,16.94,39,14.612,88.4,1.1,2.328000000000001
Piloto D,1587,6.9,Matrice 210 RTK V2,99,25.949,13,21.562,130.1,12.8,4.3870000000000005
Piloto A,737,1871.9,Phantom 3 Advanced,97,16.921,23,14.16,210.4,4.4,2.7609999999999992
Piloto D,24,0.0,Phantom 3 Advanced,36,14.944,35,14.767,0.0,0.0,0.17700000000000138
Piloto A,550,251.5,Phantom 4,61,15.147,21,14.819,11.4,0.2,0.3279999999999994
Piloto B,652,2561.0,Spark,99,12.718,18,10.801,81.9,0.2,1.9169999999999998
Piloto B,85,304.9,Mavic Air 2,100,12.933,96,12.748,7.2,0.0,0.1850000000000005
Piloto A,897,305.9,Phantom 4,100,17.236,42,14.981,32.5,1.1,2.255000000000001
Piloto A,913,1532.8,Phantom 3 Advanced,95,16.933,13,14.035,168.8,8.9,2.8979999999999997
Piloto D,43,258.8,Phantom 3 Advanced,90,16.728,88,15.191,19.6,0.1,1.5370000000000008
Piloto D,699,2557.7,Spark,99,12.814,11,10.763,42.4,1.1,2.051
Piloto A,175,265.8,Phantom 4,96,16.645,86,15.652,14.3,0.0,0.9930000000000003
Piloto A,1103,2631.7,Mavic Pro,100,12.839,22,10.992,67.0,0.5,1.8469999999999995
Piloto A,517,2620.3,Mavic Pro,99,12.828,62,11.491,66.8,0.3,1.3369999999999997
Piloto B,1125,2559.8,Mavic Air 2,99,12.884,33,11.17,41.3,0.9,1.7140000000000004
Piloto D,23,1283.7,Phantom 4,98,16.973,96,15.871,31.6,0.0,1.1019999999999985
Piloto B,675,2561.2,Spark,96,12.605,15,10.77,82.0,0.6,1.8350000000000009
Piloto D,63,1.6,Phantom 3 Advanced,91,16.828,89,15.594,5.6,0.1,1.234
Piloto D,628,2620.4,Spark,95,12.461,12,10.726,100.1,0.3,1.7349999999999994
Piloto A,131,2553.0,Phantom 4,54,15.333,43,14.606,18.7,0.1,0.7270000000000003
Piloto A,487,4.7,Phantom 3 Advanced,92,16.728,53,14.767,13.7,0.5,1.961000000000002
Piloto A,0,0.0,Phantom 4,99,17.119,99,17.066,0.0,0.0,0.053000000000000824
Piloto B,723,2620.4,Spark,99,12.782,9,10.791,101.0,0.6,1.9909999999999997
Piloto D,0,0.0,Phantom 3 Advanced,25,14.787,24,14.74,0.0,0.0,0.0470000000000006
Piloto B,812,307.9,Mavic Air 2,100,12.924,58,11.663,19.9,0.3,1.2609999999999992
Piloto A,1194,1608.8,Mavic Pro,100,12.89,16,10.984,99.2,0.8,1.9060000000000006
Piloto A,81,2635.4,Phantom 3 Advanced,100,16.699,94,15.602,33.0,0.0,1.0970000000000013
Piloto D,173,2561.3,Phantom 3 Advanced,96,16.778,82,14.739,77.8,0.2,2.038999999999998
Piloto D,881,362.5,Phantom 3 Advanced,100,17.213,9,13.952,100.6,10.6,3.261000000000001
Piloto A,787,2554.4,Spark,100,12.871,14,10.679,38.0,0.5,2.192
Piloto A,666,2594.6,Spark,99,12.764,9,10.756,37.7,0.6,2.007999999999999
Piloto A,339,2633.2,Mavic Pro,56,11.373,30,11.245,1.7,0.1,0.1280000000000001
Piloto D,881,1164.0,Phantom 3 Advanced,100,17.12,14,14.121,325.3,6.0,2.9990000000000006
Piloto A,0,2553.1,Phantom 4,48,15.333,48,15.333,0.0,0.0,0.0
Piloto D,354,2562.0,Spark,69,12.026,12,10.697,4.7,0.3,1.3290000000000006
Piloto A,696,2923.5,Spark,93,12.442,9,10.729,81.6,2.1,1.713000000000001
Piloto D,62,2561.2,Mavic Mini,34,7.277,25,6.922,1.3,0.0,0.3550000000000004
Piloto B,839,265.8,Mavic Air 2,100,12.978,56,11.657,6.9,0.4,1.3209999999999997
Piloto A,7,0.0,Phantom 4,100,17.316,100,16.592,0.0,0.0,0.7240000000000002
Piloto B,653,2561.0,Spark,98,12.782,17,10.765,80.4,0.3,2.0169999999999995
Piloto A,455,308.6,Phantom 4,58,15.668,27,14.7,51.2,1.4,0.968
Piloto A,568,258.5,Phantom 4,57,15.639,16,14.6,10.4,0.2,1.0389999999999997
Piloto A,531,2620.7,Spark,79,12.33,11,10.609,22.5,0.3,1.721
Piloto A,0,2631.9,Mavic Pro,99,12.829,99,12.767,0.0,0.0,0.062000000000001165
Piloto B,1299,1448.9,Mavic Air 2,91,12.568,16,11.03,41.8,0.9,1.5380000000000003
Piloto A,670,258.0,Phantom 4,100,17.129,56,15.357,12.0,0.2,1.772000000000002
Piloto B,0,2560.8,Spark,95,12.634,95,12.603,0.0,0.0,0.031000000000000583
Piloto D,350,2561.6,Spark,57,11.588,8,10.642,36.7,0.2,0.9459999999999997
Piloto A,593,306.7,Mavic Mini,98,8.256,43,7.164,119.5,0.4,1.0920000000000005
Piloto A,813,583.5,Phantom 4,66,15.824,9,14.239,111.6,4.2,1.584999999999999
Piloto A,644,2632.1,Mavic Pro,64,11.823,13,10.853,52.0,1.0,0.9700000000000006
Piloto D,458,514.1,M600 Pro,68,13.006,23,12.748,90.0,3.0,1.658999999999999
Piloto B,1321,1801.5,Mavic Air 2,95,12.684,17,11.022,140.6,2.3,1.661999999999999
Piloto A,619,2557.6,Mavic Pro,100,12.39,56,11.227,60.3,0.8,1.1630000000000003
Piloto D,917,316.8,Phantom 3 Advanced,96,16.957,10,13.983,130.7,11.6,2.974
Piloto D,0,1683.4,Spark,94,12.59,94,12.427,0.0,0.0,0.16300000000000026
Piloto A,685,188.2,Mavic Pro,59,11.621,11,10.955,75.5,0.6,0.6660000000000004
Piloto A,881,253.7,Phantom 4,82,16.619,19,14.397,47.7,2.1,2.2219999999999995
Piloto D,6,0.0,Spark,12,11.001,12,10.601,0.0,0.0,0.3999999999999986
Piloto A,1506,2561.3,Mavic Air 2,100,12.851,11,10.952,33.6,0.3,1.899000000000001
Piloto A,419,2553.6,Spark,70,11.908,21,10.782,95.3,0.3,1.1259999999999994
Piloto A,876,493.3,Phantom 3 Advanced,100,17.141,24,14.316,110.8,7.7,2.8249999999999975
Piloto D,481,1087.0,Mavic Pro,71,11.95,26,10.918,499.6,2.0,1.032
Piloto D,830,2736.1,Phantom 3 Advanced,98,17.121,22,14.523,187.0,1.7,2.597999999999999
Piloto D,1249,3.9,Phantom 3 Advanced,100,17.092,11,14.431,20.1,1.1,2.6609999999999996
Piloto B,528,2556.1,Mavic Air 2,94,13.006,64,12.748,32.0,0.3,1.658999999999999
Piloto D,938,2646.8,Phantom 3 Advanced,85,16.435,7,14.041,62.4,1.8,2.3939999999999984
Piloto A,1115,2631.8,Mavic Pro,100,12.878,17,10.867,53.7,2.6,2.0109999999999992
Piloto B,491,886.9,Mavic Air 2,100,12.941,74,12.068,16.3,0.3,0.8730000000000011
Piloto D,848,2562.4,Phantom 3 Advanced,95,16.706,14,13.749,44.7,1.3,2.956999999999999
Piloto D,907,669.7,Phantom 3 Advanced,100,17.086,20,14.103,439.9,8.2,2.9829999999999988
Piloto D,0,1128.0,Phantom 3 Advanced,44,15.182,44,15.182,0.0,0.0,0.0
Piloto A,0,0.0,Mavic Pro,99,12.647,99,12.62,0.0,0.0,0.027000000000001023
Piloto A,1443,2559.7,Mavic Air 2,95,12.833,8,10.83,40.6,0.6,2.003
Piloto D,0,0.0,Spark,96,12.487,96,12.567,0.0,0.0,-0.08000000000000007
Piloto D,293,2881.9,Phantom 3 Advanced,77,16.299,45,14.232,12.7,0.5,2.067
Piloto D,668,1.7,Phantom 3 Advanced,73,16.169,24,14.25,7.7,1.8,1.9190000000000005
Piloto B,711,290.6,Mavic Air 2,100,13.023,64,11.865,4.3,0.3,1.1579999999999995
Piloto D,212,2560.3,Spark,82,12.334,57,11.263,71.0,0.1,1.0709999999999997
Piloto B,150,2560.8,Spark,45,11.287,25,10.887,5.3,0.1,0.40000000000000036
Piloto A,116,337.8,Phantom 3 Advanced,98,17.103,92,15.361,21.5,0.5,1.7420000000000009
Piloto A,756,2631.9,Mavic Pro,79,12.252,22,10.667,69.1,0.3,1.5850000000000009
Piloto D,922,348.6,Phantom 3 Advanced,97,17.096,11,14.093,172.6,5.7,3.003
Piloto D,168,2561.4,Matrice 210 RTK V2,77,24.458,64,23.194,46.9,0.0,1.2639999999999993
Piloto D,561,35.8,Mavic Pro,96,12.61,59,11.342,39.9,0.7,1.267999999999999
Piloto D,861,1067.4,Phantom 3 Advanced,86,16.782,15,14.028,6.2,0.5,2.7539999999999996
Piloto D,216,2556.2,Phantom 3 Advanced,98,17.127,81,15.031,29.8,1.1,2.0959999999999983
Piloto D,747,6.0,Spark,96,12.764,7,10.785,9.4,0.3,1.9789999999999992
Piloto B,678,2560.9,Spark,98,12.789,18,10.776,83.1,0.5,2.013
Piloto A,0,284.9,Phantom 4,100,17.021,100,16.941,0.0,0.0,0.08000000000000185
Piloto B,536,0.0,Spark,98,12.733,31,10.947,0.0,0.0,1.7860000000000014
Piloto D,346,266.6,Phantom 3 Advanced,45,15.243,13,14.028,2.3,0.3,1.2149999999999999
Piloto A,740,2631.9,Mavic Pro,76,12.102,18,10.795,65.1,0.4,1.3070000000000004
Piloto A,739,2594.7,Spark,98,12.766,10,10.675,78.4,0.8,2.0909999999999993
Piloto D,641,1347.0,Phantom 3 Advanced,80,16.344,27,14.206,163.8,0.8,2.1380000000000017
Piloto A,482,583.5,Phantom 4,100,17.119,67,15.56,150.2,0.0,1.5589999999999993
Piloto A,701,1058.4,Mavic Air 2,96,13.006,57,12.748,151.5,1.5,1.658999999999999
Piloto D,807,2554.6,Phantom 3 Advanced,89,16.51,12,13.802,31.1,0.7,2.708000000000002
Piloto D,0,1128.1,Phantom 3 Advanced,43,15.194,43,15.194,0.0,0.0,0.0
Piloto D,0,2558.2,Matrice 210 RTK V2,70,24.124,70,24.094,0.0,0.0,0.029999999999997584
Piloto A,1153,2620.5,Mavic Pro,100,12.442,11,10.924,70.4,0.4,1.5180000000000007
Piloto D,450,1779.6,Phantom 3 Advanced,100,17.072,57,14.656,77.0,2.1,2.4159999999999986
Piloto D,1007,286.7,Phantom 3 Advanced,97,16.992,10,13.971,132.6,7.7,3.021000000000001
Piloto A,630,1325.8,Spark,99,12.685,28,10.946,153.8,0.2,1.7390000000000008
Piloto A,1078,2631.7,Mavic Pro,100,12.207,19,10.967,25.8,0.3,1.2400000000000002
Piloto D,0,2579.2,Phantom 3 Professional,93,16.509,93,16.238,0.0,0.0,0.2710000000000008
Piloto D,596,1216.7,Phantom 3 Advanced,96,17.032,41,14.389,179.8,3.3,2.6430000000000007
Piloto D,509,258.4,Spark,100,12.77,45,11.199,44.0,1.3,1.5709999999999997
Piloto D,455,258.9,Phantom 3 Advanced,95,16.962,54,14.68,30.2,0.3,2.282
Piloto A,503,2.9,Phantom 4,55,15.453,20,14.324,9.7,0.6,1.1289999999999996
Piloto A,1217,290.7,Phantom 4,100,17.261,17,14.317,46.3,2.3,2.943999999999999
Piloto D,1057,2558.0,Matrice 210 RTK V2,93,25.736,11,21.459,91.1,2.3,4.277000000000001
Piloto A,138,2620.2,Spark,92,12.744,76,11.814,7.9,0.1,0.9299999999999997
Piloto B,9,1449.0,Mavic Air 2,92,12.745,91,12.523,21.6,0.0,0.22199999999999953
Piloto D,1303,6.2,Phantom 4,100,17.225,12,14.451,152.3,12.8,2.774000000000001
Piloto A,648,2632.0,Mavic Pro,100,12.634,50,11.159,3.1,0.2,1.4749999999999996
Piloto A,1038,306.8,Mavic Pro,100,12.36,11,10.795,299.9,4.8,1.5649999999999995
Piloto A,598,925.3,Phantom 3 Advanced,100,17.164,46,14.502,105.4,5.6,2.662000000000001
Piloto D,335,2563.5,Mavic Pro,37,11.324,11,10.874,90.2,1.5,0.4499999999999993
Piloto A,1831,2637.2,Mavic Pro,80,11.719,24,11.031,64.9,0.5,0.6879999999999988
Piloto D,448,2585.4,Phantom 3 Professional,96,16.759,54,14.333,72.2,0.6,2.426
Piloto A,0,0.0,Mavic Pro,100,12.831,100,12.871,0.0,0.0,-0.040000000000000924
Piloto D,944,1067.2,Phantom 3 Advanced,98,17.111,9,13.998,27.8,1.6,3.1130000000000013
Piloto D,0,1128.7,Phantom 3 Advanced,29,14.987,29,14.987,0.0,0.0,0.0
Piloto D,2,2881.4,Phantom 3 Advanced,42,15.116,41,14.758,1.8,0.0,0.35800000000000054
Piloto C,584,2547.0,Mavic Pro,99,12.825,62,11.569,59.5,0.3,1.2559999999999985
Piloto A,798,2631.7,Mavic Pro,100,12.57,40,11.266,25.4,0.3,1.3040000000000003
Piloto A,1065,272.3,Mavic Air 2,89,12.49,31,11.189,31.5,1.1,1.3010000000000002
Piloto A,1023,2771.3,Mavic Pro,100,12.979,22,11.026,70.2,5.0,1.9529999999999994
Piloto B,379,2613.8,Spark,99,12.741,55,11.304,25.3,0.2,1.4369999999999994
Piloto D,853,333.1,Phantom 3 Advanced,93,16.903,16,14.137,103.2,2.5,2.7659999999999982
Piloto A,594,2620.2,Mavic Pro,97,12.207,52,11.416,13.8,0.2,0.7910000000000004
Piloto D,837,2563.5,Mavic Pro,100,12.357,38,11.245,45.4,0.3,1.112
Piloto A,814,1110.3,Mavic Air 2,96,13.006,52,12.748,202.5,2.0,1.658999999999999
Piloto A,726,2620.3,Spark,98,12.751,11,10.557,66.0,0.5,2.193999999999999
Piloto A,1108,1316.1,Phantom 3 Advanced,98,16.87,16,14.436,154.3,2.7,2.434000000000001
Piloto A,25,32.0,Phantom 3 Advanced,97,16.96,96,15.291,78.1,0.0,1.6690000000000005
